project,task,records_updated,date,project_info
ArchivesSpace Public User Interface (PUI) Implementation Project,“Missing Titles”: Removed extraneous data from improperly migrated note subrecords.,700,2017-18,
Music Library: OHAM additional info notes,Create additional info notes,82,2018,
Music Library: Reorder collection components,Reorder components,3000,2019,
Music Library: Reorder collection components,Create name subseries,384,,
Music Library: Reorder collection components,Merge names,173,2019,
MSSA: Update component IDs,,20,2019,
MSSA: Humanize Dates,,,,
MSSA: GLAD,,,,
MSSA: Location Audit and Barcoding,Update existing locations with barcodes,,,
MSSA: Location Audit and Barcoding,Delete extraneous locations,,,
MSSA: Location Audit and Barcoding,Create new locations,,,
YAMS: Multiple Date Parsing,,,,
MSSA: Delete otherlevels,,,,
MSSA: Revisit microfilm,,,2019,
MSSA: Revisit microfilm again,,,2022,
MSSA: Revision statement updates,,,,
YAMS: Finding aid language and script updates,,,,
MSSA: Index notes project,,,,
MSSA: Sharepoint link updates,,,,
MSSA: Titles to update,,,,
MSSA: Milgram,,,,
MSSA: Combine access notes,,,,
MSSA: RU 1120,,,,
MSSA: Dworkin,,,,
YAMS: BornDigital restrictions,,,,
MSSA: KRJDA,,,,
Music: OHAM external documents,,,,
MSSA: Access types (?),,,,
MSSA: Preservica content links,,44707,2020,
MSSA: Events,,65720,2021,
MSSA: Notes,,,,
MSSA: Physical Descriptions,,,,
MSSA: Durations,,,,
YAMS: File Versions,,,,
YAMS: RAD updates,,,,
MSSA: Update handles,,,,
MSSA: Update more titles,,,,
,TOTAL:,2350010,,
